ID,TD_,MD_,FD_,CDR_,LEB_,MLE_,FLE_,LEA_15,MLE_15,FLE_15,LEA_65,MLE_65,FLE_65,LEA_80,MLE_80,FLE_80,IDA_,IMR_,LBS_,FDA_5,FM_,MA4_40,MMA_40,FMA_40,MA6_60,MMA_60,FMA_60,MA1_15_50,MMA_15_50,FMA_15_50,MA1_15_60,MMA_15_60,FMA_15_60
129,8121,4525,3597,6.2,73.7,71.3,76.4,61.2,58.8,63.8,16.0,14.6,17.4,7.1,6.2,7.6,342,20.8,16155.748,433,26,59,67,50,140,171,108,53,67,38,110,140,79
130,8215,4593,3622,6.3,74.1,71.6,76.8,61.4,59.0,64.0,16.1,14.7,17.6,7.1,6.2,7.7,318,19.2,16319.76,400,24,56,64,47,136,167,103,52,65,37,108,138,77
131,8339,4669,3670,6.3,74.4,71.9,77.1,61.6,59.1,64.2,16.2,14.7,17.7,7.2,6.3,7.8,297,17.6,16604.362,371,22,53,61,45,133,163,100,51,64,37,106,136,75
132,8411,4695,3715,6.3,74.8,72.3,77.4,61.8,59.4,64.3,16.4,14.9,17.8,7.2,6.4,7.8,278,16.2,16955.705,347,20,50,58,42,128,158,96,49,62,36,104,133,73
133,8683,4857,3826,6.5,74.8,72.4,77.5,61.8,59.3,64.3,16.4,14.9,17.8,7.2,6.4,7.8,266,15.1,17477.385,334,19,50,57,42,129,159,97,50,63,37,105,135,74
134,8716,4893,3823,6.5,75.3,72.8,78.0,62.1,59.6,64.7,16.5,15.0,18.0,7.3,6.4,7.9,248,13.8,17813.042,306,17,46,53,38,122,152,90,48,61,34,101,130,70
135,8789,4918,3870,6.5,75.7,73.2,78.3,62.3,59.9,64.9,16.7,15.2,18.1,7.4,6.5,8.0,228,12.7,17712.482,284,16,43,50,36,118,148,87,47,59,34,99,127,69
136,8969,5057,3912,6.6,75.9,73.3,78.7,62.4,59.9,65.1,16.7,15.2,18.3,7.4,6.5,8.0,210,11.7,17641.292,261,15,41,48,34,116,146,85,46,58,33,98,127,67
137,9086,5133,3953,6.6,76.2,73.6,79.0,62.6,60.1,65.3,16.9,15.3,18.4,7.4,6.6,8.1,207,10.9,19063.903,255,14,39,46,32,113,143,82,45,57,32,96,125,66
138,9235,5214,4021,6.7,76.5,73.9,79.2,62.7,60.2,65.4,17.0,15.4,18.5,7.5,6.6,8.1,185,10.1,18136.684,230,13,37,44,31,110,139,80,44,56,31,95,123,65
139,9383,5309,4074,6.8,76.7,74.1,79.5,62.9,60.4,65.7,17.1,15.5,18.7,7.5,6.6,8.2,175,9.3,18617.161,217,12,36,42,29,108,136,77,43,54,30,93,121,64
140,9522,5394,4128,6.8,77.0,74.4,79.8,63.1,60.5,65.8,17.2,15.6,18.8,7.6,6.7,8.3,153,8.7,17386.583,192,11,34,40,28,105,133,75,42,53,29,91,119,62
141,9689,5500,4188,6.9,77.2,74.6,80.1,63.3,60.7,66.0,17.3,15.6,19.0,7.6,6.7,8.3,147,8.0,18201.516,183,10,33,38,27,102,131,73,41,52,29,90,117,61
142,10049,5780,4269,7.1,77.2,74.4,80.3,63.2,60.5,66.2,17.3,15.5,19.1,7.6,6.6,8.4,136,7.5,18142.382,170,9,32,38,25,102,131,71,40,52,28,90,119,60
143,9967,5665,4302,7.0,77.7,75.0,80.6,63.6,61.0,66.4,17.6,15.8,19.3,7.8,6.8,8.5,110,7.0,15264.68,141,9,30,35,24,97,125,68,38,49,27,86,113,58
144,10129,5731,4398,7.1,77.9,75.3,80.7,63.8,61.2,66.6,17.7,15.9,19.4,7.8,6.9,8.5,95,6.5,14533.957,124,8,29,34,23,95,121,67,37,48,26,85,111,57
145,10411,5960,4452,7.3,78.0,75.2,81.0,63.8,61.1,66.8,17.7,15.9,19.5,7.8,6.8,8.6,74,6.1,11781.627,99,8,28,33,22,95,123,65,37,48,26,85,113,56
146,10760,6046,4714,7.5,78.1,75.5,80.9,63.9,61.2,66.6,17.7,16.0,19.4,7.7,6.8,8.4,60,5.7,10410.165,82,7,27,31,21,94,120,66,37,47,26,85,111,57
147,10999,6276,4723,7.7,78.2,75.5,81.1,63.9,61.2,66.8,17.7,15.8,19.5,7.8,6.7,8.6,51,5.3,9411.944,72,7,26,31,21,91,117,63,35,45,25,82,108,55
